Invoice ID,Customer type,Gender,City,Branch
894-41-5205,Normal,Female,Naypyitaw,C
275-28-0149,Normal,Male,Yangon,A
101-17-6199,Normal,Male,Yangon,A
423-80-0988,Normal,Male,Naypyitaw,C
548-46-9322,Normal,Male,Mandalay,B
505-02-0892,Member,Male,Mandalay,B
234-65-2137,Normal,Male,Naypyitaw,C
687-47-8271,Normal,Male,Yangon,A
796-32-9050,Normal,Male,Yangon,A
105-31-1824,Member,Male,Yangon,A
249-42-3782,Normal,Male,Yangon,A
316-55-4634,Member,Male,Mandalay,B
733-33-4967,Normal,Male,Naypyitaw,C
608-27-6295,Member,Male,Mandalay,B
414-12-7047,Normal,Male,Mandalay,B
827-26-2100,Member,Male,Yangon,A
175-54-2529,Member,Male,Yangon,A
139-52-2867,Normal,Female,Naypyitaw,C
407-63-8975,Normal,Male,Yangon,A
342-65-4817,Member,Male,Naypyitaw,C
130-98-8941,Normal,Male,Naypyitaw,C
434-83-9547,Member,Male,Naypyitaw,C
851-28-6367,Member,Male,Yangon,A
824-88-3614,Normal,Male,Naypyitaw,C
586-25-0848,Normal,Female,Yangon,A
895-66-0685,Member,Male,Mandalay,B
305-14-0245,Member,Female,Mandalay,B
732-04-5373,Member,Male,Mandalay,B
400-60-7251,Normal,Male,Yangon,A
593-65-1552,Normal,Female,Naypyitaw,C
284-34-9626,Normal,Female,Mandalay,B
437-58-8131,Normal,Female,Mandalay,B
286-43-6208,Normal,Female,Naypyitaw,C
641-43-2399,Normal,Male,Mandalay,B
831-07-6050,Normal,Male,Yangon,A
556-86-3144,Member,Female,Naypyitaw,C
848-24-9445,Member,Male,Naypyitaw,C
856-22-8149,Normal,Female,Yangon,A
699-01-4164,Normal,Male,Naypyitaw,C
420-11-4919,Member,Female,Naypyitaw,C
606-80-4905,Member,Female,Naypyitaw,C
542-41-0513,Member,Female,Mandalay,B
426-39-2418,Normal,Male,Naypyitaw,C
875-46-5808,Member,Male,Mandalay,B
394-43-4238,Member,Male,Mandalay,B
749-24-1565,Normal,Female,Yangon,A
672-51-8681,Member,Female,Naypyitaw,C
263-87-5680,Member,Female,Naypyitaw,C
573-58-9734,Normal,Female,Mandalay,B
817-69-8206,Normal,Female,Mandalay,B
888-02-0338,Normal,Male,Yangon,A
677-11-0152,Normal,Female,Naypyitaw,C
142-63-6033,Normal,Male,Mandalay,B
656-16-1063,Normal,Male,Mandalay,B
891-58-8335,Member,Female,Mandalay,B
802-43-8934,Normal,Male,Yangon,A
560-30-5617,Normal,Female,Mandalay,B
319-74-2561,Member,Female,Yangon,A
549-03-9315,Normal,Male,Mandalay,B
790-29-1172,Normal,Female,Mandalay,B
239-36-3640,Normal,Male,Mandalay,B
468-01-2051,Normal,Male,Mandalay,B
389-25-3394,Normal,Male,Naypyitaw,C
279-62-1445,Member,Female,Naypyitaw,C
213-72-6612,Normal,Male,Yangon,A
746-68-6593,Member,Female,Naypyitaw,C
836-82-5858,Member,Male,Mandalay,B
583-72-1480,Member,Male,Naypyitaw,C
466-61-5506,Member,Female,Mandalay,B
721-86-6247,Normal,Female,Yangon,A
289-65-5721,Normal,Female,Mandalay,B
545-46-3100,Member,Female,Mandalay,B
418-02-5978,Normal,Female,Mandalay,B
269-04-5750,Member,Male,Mandalay,B
157-13-5295,Member,Male,Yangon,A
645-78-8093,Normal,Female,Yangon,A
211-30-9270,Normal,Male,Naypyitaw,C
755-12-3214,Member,Female,Naypyitaw,C
346-84-3103,Member,Female,Mandalay,B
478-06-7835,Normal,Male,Yangon,A
540-11-4336,Normal,Male,Yangon,A
448-81-5016,Normal,Male,Yangon,A
142-72-4741,Member,Male,Naypyitaw,C
217-58-1179,Member,Male,Yangon,A
376-02-8238,Normal,Male,Mandalay,B
530-90-9855,Member,Male,Yangon,A
866-05-7563,Member,Female,Mandalay,B
604-70-6476,Member,Male,Yangon,A
799-71-1548,Member,Male,Yangon,A
785-13-7708,Normal,Male,Mandalay,B
845-51-0542,Member,Male,Mandalay,B
662-47-5456,Member,Male,Naypyitaw,C
883-17-4236,Normal,Female,Naypyitaw,C
290-68-2984,Normal,Male,Yangon,A
704-11-6354,Member,Male,Yangon,A
110-48-7033,Member,Male,Mandalay,B
366-93-0948,Member,Male,Yangon,A
729-09-9681,Member,Male,Yangon,A
151-16-1484,Member,Male,Yangon,A
380-94-4661,Member,Male,Naypyitaw,C
850-41-9669,Normal,Female,Yangon,A
821-07-3596,Normal,Female,Naypyitaw,C
655-85-5130,Member,Female,Mandalay,B
447-15-7839,Member,Female,Yangon,A
154-74-7179,Normal,Male,Mandalay,B
253-12-6086,Member,Female,Yangon,A
808-65-0703,Normal,Male,Naypyitaw,C
571-94-0759,Member,Female,Mandalay,B
144-51-6085,Member,Male,Yangon,A
731-14-2199,Member,Female,Yangon,A
783-09-1637,Normal,Female,Mandalay,B
687-15-1097,Member,Female,Naypyitaw,C
126-54-1082,Member,Female,Yangon,A
633-91-1052,Normal,Female,Yangon,A
477-24-6490,Normal,Female,Mandalay,B
566-19-5475,Normal,Male,Mandalay,B
526-86-8552,Member,Female,Naypyitaw,C
376-56-3573,Normal,Female,Naypyitaw,C
537-72-0426,Member,Male,Naypyitaw,C
828-61-5674,Member,Male,Yangon,A
136-08-6195,Normal,Female,Yangon,A
523-38-0215,Normal,Male,Naypyitaw,C
490-29-1201,Normal,Female,Yangon,A
667-92-0055,Member,Male,Yangon,A
565-17-3836,Member,Female,Yangon,A
498-41-1961,Normal,Male,Mandalay,B
593-95-4461,Member,Male,Naypyitaw,C
226-71-3580,Normal,Female,Naypyitaw,C
283-79-9594,Normal,Female,Mandalay,B
430-60-3493,Member,Female,Yangon,A
139-20-0155,Member,Male,Mandalay,B
558-80-4082,Normal,Male,Naypyitaw,C
278-97-7759,Member,Female,Yangon,A
316-68-6352,Member,Female,Yangon,A
585-03-5943,Normal,Male,Mandalay,B
211-05-0490,Member,Female,Naypyitaw,C
727-75-6477,Normal,Male,Naypyitaw,C
744-02-5987,Member,Male,Yangon,A
307-83-9164,Member,Male,Yangon,A
779-06-0012,Member,Female,Naypyitaw,C
446-47-6729,Normal,Male,Naypyitaw,C
573-10-3877,Member,Male,Mandalay,B
735-06-4124,Normal,Male,Naypyitaw,C
439-54-7422,Normal,Female,Yangon,A
396-90-2219,Normal,Female,Mandalay,B
411-77-0180,Member,Male,Yangon,A
286-01-5402,Normal,Female,Yangon,A
803-17-8013,Member,Female,Yangon,A
512-98-1403,Member,Female,Yangon,A
848-42-2560,Normal,Female,Yangon,A
532-59-7201,Member,Male,Mandalay,B
181-94-6432,Member,Male,Naypyitaw,C
870-76-1733,Member,Female,Yangon,A
423-64-4619,Member,Female,Yangon,A
227-07-4446,Member,Female,Naypyitaw,C
174-36-3675,Member,Male,Naypyitaw,C
428-83-5800,Member,Female,Naypyitaw,C
603-07-0961,Member,Male,Naypyitaw,C
704-20-4138,Member,Female,Naypyitaw,C
787-15-1757,Member,Male,Naypyitaw,C
649-11-3678,Normal,Female,Naypyitaw,C
622-20-1945,Normal,Female,Naypyitaw,C
372-94-8041,Normal,Male,Yangon,A
563-91-7120,Normal,Female,Yangon,A
746-54-5508,Normal,Male,Yangon,A
276-54-0879,Normal,Male,Mandalay,B
815-11-1168,Member,Male,Yangon,A
719-76-3868,Member,Male,Naypyitaw,C
730-61-8757,Member,Male,Mandalay,B
340-66-0321,Member,Male,Yangon,A
868-81-1752,Normal,Male,Mandalay,B
634-97-8956,Normal,Male,Yangon,A
566-71-1091,Normal,Male,Yangon,A
442-48-3607,Member,Male,Yangon,A
835-16-0096,Member,Male,Naypyitaw,C
527-09-6272,Member,Female,Yangon,A
898-04-2717,Normal,Male,Yangon,A
692-27-8933,Normal,Female,Mandalay,B
633-09-3463,Normal,Female,Naypyitaw,C
374-17-3652,Member,Female,Mandalay,B
378-07-7001,Member,Male,Mandalay,B
433-75-6987,Member,Female,Mandalay,B
873-95-4984,Member,Female,Mandalay,B
416-13-5917,Normal,Female,Naypyitaw,C
150-89-8043,Normal,Male,Yangon,A
135-84-8019,Normal,Female,Yangon,A
441-94-7118,Member,Male,Yangon,A
725-96-3778,Member,Female,Naypyitaw,C
531-80-1784,Normal,Male,Yangon,A
400-45-1220,Normal,Female,Mandalay,B
860-79-0874,Member,Female,Naypyitaw,C
834-61-8124,Normal,Male,Yangon,A
115-99-4379,Member,Female,Mandalay,B
565-67-6697,Member,Male,Mandalay,B
320-49-6392,Normal,Female,Naypyitaw,C
889-04-9723,Member,Female,Mandalay,B
632-90-0281,Normal,Female,Naypyitaw,C
554-42-2417,Normal,Female,Naypyitaw,C
453-63-6187,Normal,Male,Mandalay,B
578-80-7669,Normal,Male,Mandalay,B
612-36-5536,Member,Male,Yangon,A
605-72-4132,Normal,Female,Naypyitaw,C
471-41-2823,Normal,Male,Naypyitaw,C
462-67-9126,Normal,Male,Yangon,A
272-27-9238,Normal,Female,Naypyitaw,C
834-25-9262,Normal,Female,Naypyitaw,C
122-61-9553,Normal,Female,Naypyitaw,C
468-88-0009,Member,Male,Yangon,A
613-59-9758,Normal,Female,Naypyitaw,C
254-31-0042,Member,Male,Yangon,A
201-86-2184,Member,Female,Mandalay,B
261-12-8671,Normal,Female,Mandalay,B
730-70-9830,Normal,Female,Naypyitaw,C
382-25-8917,Normal,Male,Naypyitaw,C
422-29-8786,Normal,Female,Yangon,A
667-23-5919,Member,Female,Yangon,A
843-01-4703,Member,Female,Mandalay,B
743-88-1662,Normal,Male,Naypyitaw,C
595-86-2894,Member,Male,Naypyitaw,C
182-69-8360,Normal,Female,Mandalay,B
289-15-7034,Member,Male,Yangon,A
462-78-5240,Normal,Female,Naypyitaw,C
868-52-7573,Normal,Female,Mandalay,B
153-58-4872,Member,Female,Naypyitaw,C
662-72-2873,Normal,Female,Yangon,A
525-88-7307,Member,Male,Mandalay,B
689-16-9784,Normal,Male,Naypyitaw,C
725-56-0833,Normal,Female,Yangon,A
394-41-0748,Member,Female,Naypyitaw,C
596-42-3999,Normal,Male,Mandalay,B
541-89-9860,Member,Female,Naypyitaw,C
173-82-9529,Normal,Female,Mandalay,B
563-36-9814,Member,Male,Yangon,A
308-47-4913,Member,Female,Yangon,A
885-17-6250,Normal,Female,Yangon,A
726-27-2396,Normal,Female,Yangon,A
316-01-3952,Normal,Female,Yangon,A
760-54-1821,Normal,Male,Mandalay,B
793-10-3222,Member,Female,Mandalay,B
346-12-3257,Member,Male,Mandalay,B
110-05-6330,Normal,Female,Naypyitaw,C
651-61-0874,Normal,Male,Naypyitaw,C
236-86-3015,Member,Male,Naypyitaw,C
831-64-0259,Normal,Female,Mandalay,B
587-03-7455,Member,Female,Naypyitaw,C
882-40-4577,Member,Male,Yangon,A
732-67-5346,Normal,Male,Yangon,A
725-32-9708,Member,Female,Mandalay,B
256-08-8343,Normal,Female,Yangon,A
372-26-1506,Normal,Female,Naypyitaw,C
244-08-0162,Normal,Female,Mandalay,B
569-71-4390,Normal,Male,Mandalay,B
132-23-6451,Member,Male,Yangon,A
696-90-2548,Normal,Male,Yangon,A
472-15-9636,Normal,Male,Yangon,A
268-03-6164,Normal,Male,Mandalay,B
750-57-9686,Normal,Female,Naypyitaw,C
186-09-3669,Member,Female,Naypyitaw,C
848-07-1692,Normal,Female,Mandalay,B
745-71-3520,Member,Female,Yangon,A
266-76-6436,Member,Female,Naypyitaw,C
740-22-2500,Normal,Female,Naypyitaw,C
271-88-8734,Member,Female,Naypyitaw,C
301-81-8610,Member,Male,Mandalay,B
489-64-4354,Normal,Male,Naypyitaw,C
198-84-7132,Member,Male,Mandalay,B
269-10-8440,Member,Male,Yangon,A
650-98-6268,Member,Female,Mandalay,B
741-73-3559,Normal,Male,Mandalay,B
325-77-6186,Member,Female,Yangon,A
286-75-7818,Normal,Male,Mandalay,B
574-57-9721,Normal,Male,Naypyitaw,C
459-50-7686,Normal,Female,Yangon,A
616-87-0016,Normal,Male,Mandalay,B
837-55-7229,Normal,Female,Mandalay,B
751-69-0068,Normal,Male,Naypyitaw,C
257-73-1380,Member,Male,Naypyitaw,C
345-08-4992,Normal,Male,Yangon,A
549-96-4200,Member,Male,Naypyitaw,C
810-60-6344,Normal,Female,Naypyitaw,C
450-28-2866,Member,Male,Naypyitaw,C
394-30-3170,Member,Female,Mandalay,B
138-17-5109,Member,Female,Yangon,A
192-98-7397,Normal,Male,Naypyitaw,C
301-11-9629,Normal,Female,Yangon,A
390-80-5128,Member,Female,Mandalay,B
235-46-8343,Member,Male,Naypyitaw,C
453-12-7053,Normal,Male,Naypyitaw,C
296-11-7041,Member,Female,Mandalay,B
449-27-2918,Member,Female,Mandalay,B
891-01-7034,Normal,Female,Mandalay,B
744-09-5786,Normal,Male,Mandalay,B
727-17-0390,Normal,Female,Yangon,A
568-88-3448,Normal,Male,Yangon,A
187-83-5490,Member,Male,Yangon,A
767-54-1907,Member,Female,Mandalay,B
710-46-4433,Member,Female,Mandalay,B
533-33-5337,Normal,Male,Mandalay,B
325-90-8763,Member,Female,Naypyitaw,C
729-46-7422,Normal,Male,Naypyitaw,C
639-76-1242,Normal,Male,Naypyitaw,C
234-03-4040,Member,Female,Mandalay,B
326-71-2155,Normal,Female,Naypyitaw,C
320-32-8842,Member,Female,Naypyitaw,C
470-32-9057,Member,Male,Yangon,A
878-30-2331,Member,Female,Naypyitaw,C
440-59-5691,Member,Female,Naypyitaw,C
554-53-3790,Normal,Male,Mandalay,B
746-19-0921,Normal,Male,Naypyitaw,C
233-34-0817,Member,Female,Naypyitaw,C
767-05-1286,Member,Female,Naypyitaw,C
340-21-9136,Member,Female,Yangon,A
405-31-3305,Member,Male,Yangon,A
731-59-7531,Member,Male,Mandalay,B
676-39-6028,Member,Female,Yangon,A
502-05-1910,Normal,Male,Yangon,A
485-30-8700,Normal,Female,Yangon,A
598-47-9715,Normal,Male,Naypyitaw,C
701-69-8742,Normal,Male,Mandalay,B
575-67-1508,Normal,Male,Yangon,A
541-08-3113,Normal,Male,Naypyitaw,C
246-11-3901,Normal,Female,Naypyitaw,C
674-15-9296,Normal,Male,Yangon,A
305-18-3552,Member,Male,Mandalay,B
493-65-6248,Member,Female,Naypyitaw,C
438-01-4015,Member,Female,Mandalay,B
709-58-4068,Normal,Female,Mandalay,B
795-49-7276,Normal,Male,Yangon,A
556-72-8512,Normal,Male,Naypyitaw,C
627-95-3243,Member,Female,Mandalay,B
686-41-0932,Normal,Female,Mandalay,B
510-09-5628,Member,Female,Yangon,A
608-04-3797,Member,Female,Mandalay,B
148-82-2527,Member,Female,Naypyitaw,C
437-53-3084,Normal,Male,Mandalay,B
632-32-4574,Normal,Male,Mandalay,B
556-97-7101,Normal,Female,Naypyitaw,C
862-59-8517,Normal,Female,Naypyitaw,C
401-18-8016,Member,Female,Mandalay,B
420-18-8989,Member,Female,Yangon,A
277-63-2961,Member,Male,Mandalay,B
573-98-8548,Member,Female,Naypyitaw,C
620-02-2046,Normal,Male,Naypyitaw,C
282-35-2475,Normal,Female,Mandalay,B
511-54-3087,Normal,Male,Mandalay,B
726-29-6793,Member,Male,Yangon,A
387-49-4215,Member,Female,Mandalay,B
862-17-9201,Normal,Female,Mandalay,B
291-21-5991,Member,Male,Mandalay,B
602-80-9671,Member,Female,Naypyitaw,C
347-72-6115,Member,Female,Mandalay,B
209-61-0206,Normal,Female,Yangon,A
595-27-4851,Normal,Female,Yangon,A
189-52-0236,Normal,Male,Yangon,A
503-07-0930,Member,Male,Naypyitaw,C
413-20-6708,Member,Female,Naypyitaw,C
425-85-2085,Member,Male,Mandalay,B
521-18-7827,Member,Male,Naypyitaw,C
220-28-1851,Normal,Male,Yangon,A
600-38-9738,Member,Male,Naypyitaw,C
734-91-1155,Normal,Female,Mandalay,B
451-28-5717,Member,Female,Naypyitaw,C
609-81-8548,Member,Female,Yangon,A
133-14-7229,Normal,Male,Naypyitaw,C
534-01-4457,Normal,Male,Yangon,A
719-89-8991,Member,Female,Yangon,A
286-62-6248,Normal,Male,Mandalay,B
339-38-9982,Member,Male,Mandalay,B
827-44-5872,Member,Female,Mandalay,B
827-77-7633,Normal,Male,Yangon,A
287-83-1405,Normal,Male,Yangon,A
435-13-4908,Member,Male,Yangon,A
857-67-9057,Normal,Male,Mandalay,B
236-27-1144,Normal,Female,Naypyitaw,C
892-05-6689,Normal,Female,Yangon,A
583-41-4548,Normal,Male,Naypyitaw,C
339-12-4827,Member,Female,Mandalay,B
643-38-7867,Normal,Male,Yangon,A
308-81-0538,Normal,Female,Yangon,A
358-88-9262,Member,Female,Naypyitaw,C
460-35-4390,Normal,Male,Yangon,A
343-87-0864,Member,Male,Naypyitaw,C
173-50-1108,Member,Female,Mandalay,B
243-47-2663,Member,Male,Naypyitaw,C
841-18-8232,Normal,Female,Mandalay,B
701-23-5550,Member,Male,Mandalay,B
647-50-1224,Normal,Female,Yangon,A
541-48-8554,Normal,Male,Yangon,A
539-21-7227,Normal,Female,Mandalay,B
213-32-1216,Normal,Female,Yangon,A
747-58-7183,Normal,Male,Mandalay,B
582-52-8065,Normal,Female,Mandalay,B
210-57-1719,Normal,Female,Mandalay,B
399-69-4630,Normal,Male,Naypyitaw,C
134-75-2619,Member,Male,Yangon,A
356-44-8813,Normal,Male,Mandalay,B
198-66-9832,Member,Female,Mandalay,B
283-26-5248,Member,Female,Naypyitaw,C
712-39-0363,Member,Male,Yangon,A
218-59-9410,Member,Female,Yangon,A
174-75-0888,Normal,Male,Mandalay,B
866-99-7614,Normal,Male,Naypyitaw,C
134-54-4720,Normal,Female,Mandalay,B
760-90-2357,Member,Male,Yangon,A
514-37-2845,Normal,Male,Mandalay,B
698-98-5964,Normal,Female,Yangon,A
718-57-9773,Normal,Female,Naypyitaw,C
651-88-7328,Normal,Female,Yangon,A
241-11-2261,Normal,Female,Mandalay,B
408-26-9866,Normal,Female,Naypyitaw,C
834-83-1826,Member,Female,Mandalay,B
343-61-3544,Member,Male,Mandalay,B
239-48-4278,Member,Male,Yangon,A
355-34-6244,Normal,Male,Mandalay,B
550-84-8664,Normal,Male,Yangon,A
339-96-8318,Member,Male,Mandalay,B
458-61-0011,Normal,Male,Mandalay,B
592-34-6155,Normal,Male,Naypyitaw,C
797-88-0493,Normal,Female,Yangon,A
207-73-1363,Normal,Male,Mandalay,B
390-31-6381,Normal,Male,Naypyitaw,C
443-82-0585,Member,Female,Yangon,A
339-18-7061,Member,Female,Naypyitaw,C
359-90-3665,Member,Female,Mandalay,B
375-72-3056,Normal,Male,Mandalay,B
127-47-6963,Normal,Male,Yangon,A
278-86-2735,Normal,Female,Yangon,A
695-28-6250,Normal,Female,Yangon,A
379-17-6588,Normal,Male,Naypyitaw,C
227-50-3718,Normal,Male,Yangon,A
302-15-2162,Member,Male,Naypyitaw,C
788-07-8452,Member,Female,Naypyitaw,C
560-49-6611,Member,Female,Yangon,A
880-35-0356,Member,Female,Yangon,A
585-11-6748,Member,Male,Mandalay,B
470-31-3286,Normal,Male,Mandalay,B
152-68-2907,Normal,Male,Yangon,A
123-35-4896,Normal,Female,Naypyitaw,C
258-69-7810,Normal,Female,Naypyitaw,C
334-64-2006,Member,Female,Yangon,A
219-61-4139,Normal,Male,Naypyitaw,C
881-41-7302,Normal,Female,Naypyitaw,C
373-09-4567,Normal,Male,Naypyitaw,C
642-30-6693,Normal,Female,Mandalay,B
484-22-8230,Member,Female,Naypyitaw,C
830-58-2383,Normal,Male,Mandalay,B
559-98-9873,Member,Female,Yangon,A
544-32-5024,Member,Female,Naypyitaw,C
318-12-0304,Normal,Male,Yangon,A
349-97-8902,Member,Male,Mandalay,B
421-95-9805,Normal,Female,Yangon,A
277-35-5865,Member,Female,Naypyitaw,C
789-23-8625,Member,Male,Mandalay,B
284-54-4231,Member,Male,Naypyitaw,C
443-59-0061,Member,Male,Yangon,A
509-29-3912,Member,Female,Yangon,A
327-40-9673,Member,Male,Mandalay,B
840-19-2096,Member,Male,Naypyitaw,C
828-46-6863,Member,Male,Yangon,A
641-96-3695,Member,Female,Naypyitaw,C
420-97-3340,Normal,Female,Yangon,A
436-54-4512,Member,Female,Yangon,A
670-79-6321,Member,Female,Mandalay,B
852-62-7105,Normal,Female,Mandalay,B
598-06-7312,Member,Male,Mandalay,B
135-13-8269,Member,Female,Mandalay,B
816-57-2053,Normal,Male,Yangon,A
628-90-8624,Member,Male,Mandalay,B
856-66-2701,Member,Male,Yangon,A
308-39-1707,Normal,Female,Yangon,A
149-61-1929,Normal,Male,Yangon,A
655-07-2265,Normal,Male,Yangon,A
589-02-8023,Member,Male,Yangon,A
420-04-7590,Normal,Male,Mandalay,B
182-88-2763,Member,Male,Mandalay,B
188-55-0967,Member,Male,Mandalay,B
610-46-4100,Normal,Male,Yangon,A
318-81-2368,Normal,Female,Naypyitaw,C
