Invoice ID,Date,Quantity,Payment,Total
604-70-6476,23-01-2019,5,Ewallet,94.185
799-71-1548,07-01-2019,4,Credit card,326.424
785-13-7708,14-01-2019,7,Credit card,536.991
845-51-0542,02-02-2019,9,Ewallet,439.8975
662-47-5456,17-03-2019,10,Credit card,369.495
883-17-4236,02-03-2019,2,Credit card,30.219
290-68-2984,16-03-2019,4,Cash,99.75
704-11-6354,06-01-2019,8,Cash,494.76
110-48-7033,29-01-2019,4,Cash,137.004
366-93-0948,31-01-2019,1,Credit card,69.6675
729-09-9681,05-02-2019,6,Ewallet,163.233
151-16-1484,13-02-2019,4,Ewallet,135.45
380-94-4661,07-02-2019,4,Credit card,276.948
850-41-9669,19-03-2019,9,Ewallet,709.317
821-07-3596,07-03-2019,4,Ewallet,69.09
655-85-5130,13-03-2019,4,Cash,160.86
447-15-7839,09-02-2019,10,Cash,233.52
154-74-7179,26-02-2019,1,Ewallet,57.1725
253-12-6086,12-03-2019,7,Credit card,723.24
808-65-0703,14-03-2019,4,Credit card,148.974
571-94-0759,08-01-2019,10,Cash,783.3
144-51-6085,05-01-2019,4,Credit card,297.108
731-14-2199,04-01-2019,10,Ewallet,373.17
783-09-1637,06-03-2019,5,Ewallet,354.0075
687-15-1097,03-01-2019,2,Cash,44.352
126-54-1082,07-01-2019,9,Credit card,203.553
633-91-1052,27-01-2019,2,Cash,25.263
477-24-6490,26-02-2019,6,Ewallet,628.173
566-19-5475,07-01-2019,7,Cash,352.5795
526-86-8552,07-01-2019,10,Cash,229.11
376-56-3573,02-02-2019,4,Ewallet,400.764
537-72-0426,20-03-2019,10,Cash,745.395
828-61-5674,20-03-2019,10,Credit card,462.21
136-08-6195,15-02-2019,8,Credit card,587.664
523-38-0215,06-03-2019,1,Credit card,38.85
490-29-1201,06-01-2019,1,Cash,16.107
667-92-0055,04-03-2019,6,Ewallet,628.929
565-17-3836,12-03-2019,4,Cash,200.214
498-41-1961,20-02-2019,5,Cash,350.07
593-95-4461,24-03-2019,1,Cash,78.603
226-71-3580,31-01-2019,9,Cash,224.4375
283-79-9594,25-01-2019,7,Credit card,356.5485
430-60-3493,03-02-2019,7,Cash,697.368
139-20-0155,24-01-2019,10,Credit card,423.15
558-80-4082,14-03-2019,7,Ewallet,204.6975
278-97-7759,18-02-2019,1,Cash,65.604
316-68-6352,21-01-2019,2,Cash,76.356
585-03-5943,13-03-2019,10,Ewallet,190.155
211-05-0490,03-03-2019,5,Cash,272.58
727-75-6477,29-03-2019,4,Cash,121.128
744-02-5987,10-01-2019,6,Ewallet,493.794
307-83-9164,25-01-2019,4,Cash,252.042
779-06-0012,19-01-2019,1,Cash,93.0405
446-47-6729,02-01-2019,2,Credit card,209.622
573-10-3877,12-03-2019,1,Credit card,40.9605
735-06-4124,25-02-2019,1,Cash,51.0405
439-54-7422,18-03-2019,4,Credit card,214.998
396-90-2219,23-02-2019,8,Cash,125.664
411-77-0180,26-03-2019,7,Ewallet,530.67
286-01-5402,30-03-2019,7,Cash,295.6905
803-17-8013,17-02-2019,8,Cash,745.836
512-98-1403,21-03-2019,3,Ewallet,83.412
848-42-2560,05-03-2019,2,Cash,172.011
532-59-7201,31-01-2019,6,Cash,503.559
181-94-6432,05-02-2019,2,Ewallet,145.593
870-76-1733,01-02-2019,5,Credit card,74.7075
423-64-4619,07-03-2019,9,Cash,146.9475
227-07-4446,10-02-2019,10,Cash,820.365
174-36-3675,14-02-2019,2,Cash,208.677
428-83-5800,09-02-2019,3,Cash,66.402
603-07-0961,10-01-2019,5,Cash,392.6475
704-20-4138,11-03-2019,7,Credit card,218.0745
787-15-1757,18-02-2019,4,Ewallet,185.094
649-11-3678,26-02-2019,9,Cash,216.6885
622-20-1945,18-01-2019,1,Cash,41.391
372-94-8041,15-02-2019,6,Ewallet,96.138
563-91-7120,08-03-2019,5,Cash,324.2925
746-54-5508,17-01-2019,6,Credit card,135.576
276-54-0879,12-03-2019,4,Ewallet,410.508
815-11-1168,09-03-2019,5,Cash,523.845
719-76-3868,12-03-2019,4,Cash,395.892
730-61-8757,25-01-2019,4,Credit card,214.746
340-66-0321,25-03-2019,4,Cash,152.712
868-81-1752,07-02-2019,9,Cash,208.089
634-97-8956,17-02-2019,3,Credit card,103.635
566-71-1091,03-02-2019,5,Cash,404.355
442-48-3607,14-03-2019,2,Credit card,49.308
835-16-0096,24-03-2019,5,Ewallet,77.175
527-09-6272,21-03-2019,5,Credit card,149.3625
898-04-2717,19-03-2019,9,Ewallet,721.98
692-27-8933,24-02-2019,6,Cash,365.085
633-09-3463,28-03-2019,3,Credit card,150.0975
374-17-3652,05-02-2019,9,Credit card,404.649
378-07-7001,10-02-2019,3,Credit card,151.4835
433-75-6987,05-03-2019,7,Ewallet,411.3795
873-95-4984,15-02-2019,7,Cash,565.215
416-13-5917,30-01-2019,5,Ewallet,509.4075
150-89-8043,14-02-2019,3,Cash,140.6475
135-84-8019,27-02-2019,9,Ewallet,736.4385
441-94-7118,04-02-2019,1,Cash,75.5475
725-96-3778,20-01-2019,8,Cash,749.7
531-80-1784,28-03-2019,7,Cash,191.247
400-45-1220,27-02-2019,10,Credit card,141.75
860-79-0874,15-02-2019,10,Credit card,1042.65
834-61-8124,26-01-2019,7,Cash,379.9215
115-99-4379,14-03-2019,7,Credit card,402.2655
565-67-6697,02-03-2019,9,Cash,255.15
320-49-6392,04-03-2019,1,Cash,31.752
889-04-9723,07-01-2019,4,Credit card,374.388
632-90-0281,08-03-2019,10,Credit card,394.275
554-42-2417,09-01-2019,10,Cash,1002.12
453-63-6187,01-03-2019,3,Ewallet,86.625
578-80-7669,16-03-2019,1,Cash,78.7185
612-36-5536,17-02-2019,8,Credit card,680.064
605-72-4132,27-02-2019,8,Cash,793.548
471-41-2823,07-03-2019,2,Ewallet,209.559
462-67-9126,21-01-2019,6,Cash,461.286
272-27-9238,19-02-2019,4,Cash,173.208
834-25-9262,06-01-2019,4,Cash,343.056
122-61-9553,14-03-2019,9,Cash,484.974
468-88-0009,24-03-2019,4,Cash,276.948
613-59-9758,27-01-2019,10,Cash,150.78
254-31-0042,06-03-2019,9,Credit card,203.175
201-86-2184,02-02-2019,7,Cash,193.011
261-12-8671,25-01-2019,2,Credit card,128.016
730-70-9830,14-03-2019,6,Ewallet,441.693
382-25-8917,29-01-2019,6,Cash,265.104
422-29-8786,03-01-2019,5,Credit card,352.2225
667-23-5919,14-01-2019,5,Ewallet,507.675
843-01-4703,05-01-2019,9,Credit card,334.341
743-88-1662,22-02-2019,7,Ewallet,701.8515
595-86-2894,06-02-2019,4,Ewallet,407.316
182-69-8360,30-01-2019,4,Credit card,99.33
289-15-7034,11-01-2019,4,Credit card,345.786
462-78-5240,19-03-2019,2,Cash,55.881
868-52-7573,14-01-2019,5,Cash,523.3725
153-58-4872,01-03-2019,4,Ewallet,314.538
662-72-2873,06-01-2019,5,Ewallet,214.935
525-88-7307,31-01-2019,1,Cash,79.611
689-16-9784,11-03-2019,6,Cash,294.651
725-56-0833,20-02-2019,10,Credit card,339.36
394-41-0748,27-01-2019,9,Ewallet,510.9615
596-42-3999,10-03-2019,7,Credit card,133.917
541-89-9860,15-02-2019,3,Cash,253.512
173-82-9529,26-01-2019,10,Cash,398.475
563-36-9814,13-02-2019,1,Ewallet,80.661
308-47-4913,09-03-2019,10,Credit card,548.73
885-17-6250,06-03-2019,1,Ewallet,83.727
726-27-2396,24-01-2019,5,Ewallet,406.875
316-01-3952,13-03-2019,5,Ewallet,284.9175
760-54-1821,15-03-2019,9,Cash,128.4255
793-10-3222,05-03-2019,6,Credit card,258.678
346-12-3257,04-03-2019,9,Cash,181.818
110-05-6330,25-03-2019,6,Credit card,248.409
651-61-0874,12-03-2019,4,Credit card,194.124
236-86-3015,04-02-2019,1,Ewallet,14.679
831-64-0259,22-02-2019,5,Ewallet,208.6875
587-03-7455,16-02-2019,7,Ewallet,718.7565
882-40-4577,19-01-2019,4,Credit card,282.492
732-67-5346,11-01-2019,5,Credit card,72.3975
725-32-9708,04-01-2019,4,Cash,288.582
256-08-8343,04-03-2019,4,Ewallet,237.426
372-26-1506,28-01-2019,5,Ewallet,125.055
244-08-0162,02-01-2019,10,Cash,359.205
569-71-4390,25-01-2019,2,Ewallet,45.927
132-23-6451,04-01-2019,5,Cash,110.0925
696-90-2548,10-03-2019,3,Ewallet,81.396
472-15-9636,22-03-2019,8,Ewallet,427.812
268-03-6164,25-01-2019,1,Ewallet,100.9155
750-57-9686,08-01-2019,4,Credit card,190.596
186-09-3669,22-01-2019,1,Ewallet,85.5855
848-07-1692,12-01-2019,2,Ewallet,120.162
745-71-3520,04-02-2019,7,Cash,185.367
266-76-6436,28-03-2019,3,Ewallet,121.59
740-22-2500,23-01-2019,3,Cash,264.7575
271-88-8734,08-02-2019,10,Credit card,1020.705
301-81-8610,19-03-2019,8,Credit card,213.528
489-64-4354,09-03-2019,1,Cash,17.094
198-84-7132,02-01-2019,9,Cash,383.7645
269-10-8440,21-01-2019,7,Cash,390.7995
650-98-6268,20-03-2019,3,Credit card,65.7405
741-73-3559,27-02-2019,5,Cash,353.1675
325-77-6186,08-03-2019,10,Ewallet,951.825
286-75-7818,31-01-2019,2,Credit card,145.068
574-57-9721,08-03-2019,2,Ewallet,90.867
459-50-7686,13-01-2019,6,Ewallet,147.798
616-87-0016,09-03-2019,7,Credit card,702.219
837-55-7229,22-02-2019,1,Credit card,49.812
751-69-0068,19-03-2019,9,Ewallet,937.818
257-73-1380,20-01-2019,4,Ewallet,348.306
345-08-4992,08-03-2019,6,Credit card,214.137
549-96-4200,08-03-2019,4,Ewallet,71.568
810-60-6344,07-02-2019,8,Credit card,343.224
450-28-2866,15-01-2019,5,Cash,91.56
394-30-3170,22-03-2019,8,Credit card,742.812
138-17-5109,15-01-2019,9,Credit card,843.0345
192-98-7397,08-01-2019,1,Ewallet,13.419
301-11-9629,15-01-2019,7,Cash,140.385
390-80-5128,28-01-2019,1,Credit card,20.1075
235-46-8343,14-02-2019,10,Credit card,290.43
453-12-7053,10-03-2019,3,Credit card,144.081
296-11-7041,12-01-2019,1,Credit card,28.4235
449-27-2918,26-03-2019,1,Credit card,41.076
891-01-7034,01-01-2019,6,Cash,470.673
744-09-5786,02-01-2019,6,Cash,138.663
727-17-0390,16-03-2019,5,Ewallet,333.9525
568-88-3448,03-03-2019,1,Ewallet,26.25
187-83-5490,31-01-2019,4,Cash,87.234
767-54-1907,13-02-2019,5,Cash,155.19
710-46-4433,15-02-2019,9,Credit card,731.43
533-33-5337,07-02-2019,10,Cash,833.595
325-90-8763,27-01-2019,10,Cash,488.985
729-46-7422,23-02-2019,1,Credit card,37.6845
639-76-1242,03-02-2019,5,Cash,212.73
234-03-4040,03-03-2019,10,Credit card,767.025
326-71-2155,03-02-2019,4,Cash,310.59
320-32-8842,17-03-2019,1,Cash,23.751
470-32-9057,28-03-2019,5,Credit card,269.535
878-30-2331,02-03-2019,10,Credit card,572.775
440-59-5691,08-02-2019,7,Credit card,273.0525
554-53-3790,22-03-2019,6,Cash,233.226
746-19-0921,09-02-2019,1,Ewallet,22.659
233-34-0817,15-02-2019,1,Cash,103.782
767-05-1286,23-01-2019,6,Ewallet,527.751
340-21-9136,25-01-2019,4,Cash,168.21
405-31-3305,02-02-2019,10,Credit card,452.865
731-59-7531,30-03-2019,8,Cash,609.588
676-39-6028,30-03-2019,5,Cash,338.31
502-05-1910,25-02-2019,3,Credit card,205.317
485-30-8700,18-03-2019,5,Credit card,174.615
598-47-9715,07-03-2019,4,Ewallet,353.094
701-69-8742,16-03-2019,10,Ewallet,360.885
575-67-1508,29-01-2019,1,Ewallet,40.53
541-08-3113,02-02-2019,8,Cash,554.148
246-11-3901,15-02-2019,10,Cash,344.4
674-15-9296,08-01-2019,5,Ewallet,194.985
305-18-3552,12-02-2019,10,Cash,633.99
493-65-6248,01-01-2019,10,Credit card,388.29
438-01-4015,21-03-2019,4,Ewallet,207.858
709-58-4068,28-02-2019,10,Cash,431.445
795-49-7276,23-03-2019,4,Ewallet,156.03
556-72-8512,30-01-2019,1,Cash,24.108
627-95-3243,04-02-2019,9,Ewallet,734.076
686-41-0932,13-03-2019,2,Ewallet,72.87
510-09-5628,15-03-2019,10,Credit card,206.43
608-04-3797,05-03-2019,8,Ewallet,212.688
148-82-2527,05-03-2019,10,Credit card,127.26
437-53-3084,26-02-2019,2,Ewallet,209.769
632-32-4574,20-03-2019,8,Cash,637.728
556-97-7101,01-01-2019,2,Cash,132.762
862-59-8517,27-01-2019,6,Cash,568.512
401-18-8016,21-01-2019,1,Cash,103.0365
420-18-8989,02-02-2019,8,Cash,432.768
277-63-2961,03-02-2019,1,Credit card,77.6685
573-98-8548,05-01-2019,1,Ewallet,33.495
620-02-2046,27-01-2019,2,Ewallet,145.74
282-35-2475,25-03-2019,2,Cash,195.951
511-54-3087,25-02-2019,1,Credit card,92.8725
726-29-6793,28-01-2019,8,Ewallet,203.112
387-49-4215,08-01-2019,3,Cash,152.775
862-17-9201,29-01-2019,6,Credit card,529.515
291-21-5991,29-03-2019,5,Cash,321.7725
602-80-9671,09-02-2019,6,Credit card,100.485
347-72-6115,16-01-2019,7,Credit card,666.939
209-61-0206,05-01-2019,5,Ewallet,225.2775
595-27-4851,27-01-2019,7,Ewallet,398.958
189-52-0236,14-03-2019,7,Cash,731.6925
503-07-0930,23-02-2019,7,Credit card,429.1665
413-20-6708,18-03-2019,1,Ewallet,54.0435
425-85-2085,29-03-2019,5,Ewallet,288.015
521-18-7827,22-01-2019,5,Credit card,206.7975
220-28-1851,01-03-2019,2,Ewallet,72.933
600-38-9738,17-01-2019,5,Credit card,377.58
734-91-1155,26-03-2019,3,Credit card,143.9865
451-28-5717,20-03-2019,6,Cash,523.971
609-81-8548,06-02-2019,6,Credit card,235.872
133-14-7229,01-01-2019,2,Cash,132.027
534-01-4457,27-01-2019,6,Credit card,514.773
719-89-8991,25-02-2019,5,Ewallet,479.9025
286-62-6248,16-01-2019,4,Credit card,164.682
339-38-9982,13-01-2019,2,Ewallet,125.706
827-44-5872,07-02-2019,10,Credit card,570.78
827-77-7633,17-02-2019,9,Cash,926.9505
287-83-1405,12-02-2019,6,Ewallet,160.209
435-13-4908,24-01-2019,8,Credit card,728.112
857-67-9057,06-02-2019,10,Ewallet,240.975
236-27-1144,26-03-2019,9,Ewallet,154.1295
892-05-6689,11-03-2019,5,Ewallet,148.68
583-41-4548,07-02-2019,7,Ewallet,122.5245
339-12-4827,05-01-2019,1,Credit card,77.658
643-38-7867,07-03-2019,1,Ewallet,102.837
308-81-0538,25-02-2019,4,Credit card,306.81
358-88-9262,01-02-2019,6,Ewallet,551.124
460-35-4390,22-01-2019,3,Ewallet,96.642
343-87-0864,03-01-2019,1,Credit card,79.674
173-50-1108,13-02-2019,4,Credit card,84.756
243-47-2663,28-01-2019,6,Credit card,118.251
841-18-8232,05-01-2019,1,Credit card,74.76
701-23-5550,19-03-2019,4,Ewallet,163.002
647-50-1224,12-01-2019,10,Ewallet,308.91
541-48-8554,07-01-2019,9,Credit card,575.9775
539-21-7227,26-01-2019,5,Cash,270.585
213-32-1216,23-01-2019,6,Cash,416.178
747-58-7183,09-02-2019,3,Ewallet,180.4005
582-52-8065,22-02-2019,9,Cash,513.2295
210-57-1719,05-02-2019,9,Cash,550.368
