Invoice ID,Product line,Unit price,Rating
354-39-5160,Home and lifestyle,34.42,9.8
241-72-9525,Sports and travel,51.91,8.2
575-30-8091,Sports and travel,72.5,9.2
731-81-9469,Sports and travel,89.8,5.4
280-17-4359,Health and beauty,90.5,8.1
338-65-2210,Health and beauty,68.6,9.1
488-25-4221,Food and beverages,30.41,8.4
239-10-7476,Home and lifestyle,77.95,8
458-41-1477,Health and beauty,46.26,9.5
685-64-1609,Fashion accessories,30.14,9.2
568-90-5112,Health and beauty,66.14,5.6
262-47-2794,Home and lifestyle,71.86,6.2
238-49-0436,Health and beauty,32.46,4.9
608-96-3517,Fashion accessories,91.54,4.8
584-86-7256,Sports and travel,34.56,7.3
746-94-0204,Fashion accessories,83.24,7.4
214-17-6927,Food and beverages,16.48,9.9
400-89-4171,Sports and travel,80.97,9.3
782-95-9291,Food and beverages,92.29,9
279-74-2924,Electronic accessories,72.17,6.1
307-85-2293,Home and lifestyle,50.28,9.7
743-04-1105,Health and beauty,97.22,6
423-57-2993,Sports and travel,93.39,10
894-41-5205,Food and beverages,43.18,8.3
275-28-0149,Sports and travel,63.69,6
101-17-6199,Food and beverages,45.79,7
423-80-0988,Sports and travel,76.4,6.5
548-46-9322,Food and beverages,39.9,5.9
505-02-0892,Health and beauty,42.57,5.6
234-65-2137,Home and lifestyle,95.58,4.8
687-47-8271,Fashion accessories,98.98,8.7
796-32-9050,Food and beverages,51.28,6.5
105-31-1824,Sports and travel,69.52,8.5
249-42-3782,Health and beauty,70.01,5.5
316-55-4634,Food and beverages,80.05,9.4
733-33-4967,Electronic accessories,20.85,6.3
608-27-6295,Electronic accessories,52.89,9.8
414-12-7047,Food and beverages,19.79,8.7
827-26-2100,Home and lifestyle,33.84,8.8
175-54-2529,Food and beverages,22.17,9.6
139-52-2867,Fashion accessories,22.51,4.8
407-63-8975,Food and beverages,73.88,4.4
342-65-4817,Health and beauty,86.8,9.9
130-98-8941,Fashion accessories,64.26,5.7
434-83-9547,Food and beverages,38.47,7.7
851-28-6367,Sports and travel,15.5,8
824-88-3614,Health and beauty,34.31,5.7
586-25-0848,Sports and travel,12.34,6.7
895-66-0685,Food and beverages,18.08,8
305-14-0245,Home and lifestyle,94.49,7.5
732-04-5373,Home and lifestyle,46.47,7
400-60-7251,Home and lifestyle,74.07,9.9
593-65-1552,Home and lifestyle,69.81,5.9
284-34-9626,Home and lifestyle,77.04,7.2
437-58-8131,Fashion accessories,73.52,4.6
286-43-6208,Food and beverages,87.8,9.2
641-43-2399,Home and lifestyle,25.55,5.7
831-07-6050,Electronic accessories,32.71,9.9
556-86-3144,Fashion accessories,74.29,5
848-24-9445,Health and beauty,43.7,4.9
856-22-8149,Home and lifestyle,25.29,6.1
699-01-4164,Health and beauty,41.5,8.2
420-11-4919,Food and beverages,71.39,5.5
606-80-4905,Sports and travel,19.15,6.8
542-41-0513,Electronic accessories,57.49,6.6
426-39-2418,Electronic accessories,61.41,9.8
875-46-5808,Health and beauty,25.9,8.7
394-43-4238,Home and lifestyle,17.77,5.4
749-24-1565,Health and beauty,23.03,7.9
672-51-8681,Electronic accessories,66.65,9.7
263-87-5680,Home and lifestyle,28.53,7.8
573-58-9734,Fashion accessories,30.37,5.1
817-69-8206,Electronic accessories,99.73,6.5
888-02-0338,Electronic accessories,26.23,5.9
677-11-0152,Food and beverages,93.26,8.8
142-63-6033,Home and lifestyle,92.36,4.9
656-16-1063,Sports and travel,46.42,4.4
891-58-8335,Sports and travel,29.61,6.5
802-43-8934,Home and lifestyle,18.28,8.3
560-30-5617,Sports and travel,24.77,8.5
319-74-2561,Electronic accessories,94.64,5.5
549-03-9315,Fashion accessories,94.87,8.7
790-29-1172,Food and beverages,57.34,7.9
239-36-3640,Electronic accessories,45.35,6.1
468-01-2051,Food and beverages,62.08,5.4
389-25-3394,Electronic accessories,11.81,9.4
279-62-1445,Fashion accessories,12.54,8.2
213-72-6612,Food and beverages,43.25,6.2
746-68-6593,Sports and travel,87.16,9.7
836-82-5858,Health and beauty,69.37,4
583-72-1480,Electronic accessories,37.06,9.7
466-61-5506,Electronic accessories,90.7,5.3
721-86-6247,Home and lifestyle,63.42,7.4
289-65-5721,Fashion accessories,81.37,6.5
545-46-3100,Electronic accessories,10.59,8.7
418-02-5978,Health and beauty,84.09,8
269-04-5750,Fashion accessories,73.82,6.7
157-13-5295,Health and beauty,51.94,6.5
645-78-8093,Sports and travel,93.14,4.1
211-30-9270,Health and beauty,17.41,4.9
755-12-3214,Fashion accessories,44.22,8.6
346-84-3103,Electronic accessories,13.22,4.3
478-06-7835,Fashion accessories,89.69,4.9
540-11-4336,Food and beverages,24.94,5.6
448-81-5016,Health and beauty,59.77,5.8
142-72-4741,Fashion accessories,93.2,6
217-58-1179,Home and lifestyle,62.65,4.2
376-02-8238,Home and lifestyle,93.87,8.3
530-90-9855,Home and lifestyle,47.59,5.7
866-05-7563,Electronic accessories,81.4,4.8
604-70-6476,Fashion accessories,17.94,6.8
799-71-1548,Electronic accessories,77.72,8.8
785-13-7708,Food and beverages,73.06,4.2
845-51-0542,Food and beverages,46.55,6.4
662-47-5456,Fashion accessories,35.19,8.4
883-17-4236,Sports and travel,14.39,7.2
290-68-2984,Home and lifestyle,23.75,5.2
704-11-6354,Home and lifestyle,58.9,8.9
110-48-7033,Fashion accessories,32.62,9
366-93-0948,Electronic accessories,66.35,9.7
729-09-9681,Home and lifestyle,25.91,8.7
151-16-1484,Electronic accessories,32.25,6.5
380-94-4661,Electronic accessories,65.94,6.9
850-41-9669,Electronic accessories,75.06,6.2
821-07-3596,Fashion accessories,16.45,5.6
655-85-5130,Fashion accessories,38.3,5.7
447-15-7839,Sports and travel,22.24,4.2
154-74-7179,Sports and travel,54.45,7.9
253-12-6086,Sports and travel,98.4,8.7
808-65-0703,Home and lifestyle,35.47,6.9
571-94-0759,Food and beverages,74.6,9.5
144-51-6085,Home and lifestyle,70.74,4.4
731-14-2199,Home and lifestyle,35.54,7
783-09-1637,Sports and travel,67.43,6.3
687-15-1097,Health and beauty,21.12,9.7
126-54-1082,Home and lifestyle,21.54,8.8
633-91-1052,Home and lifestyle,12.03,5.1
477-24-6490,Health and beauty,99.71,7.9
566-19-5475,Fashion accessories,47.97,6.2
526-86-8552,Home and lifestyle,21.82,7.1
376-56-3573,Fashion accessories,95.42,6.4
537-72-0426,Fashion accessories,70.99,5.7
828-61-5674,Sports and travel,44.02,9.6
136-08-6195,Home and lifestyle,69.96,6.4
523-38-0215,Home and lifestyle,37,7.9
490-29-1201,Sports and travel,15.34,6.5
667-92-0055,Health and beauty,99.83,8.5
565-17-3836,Health and beauty,47.67,9.1
498-41-1961,Health and beauty,66.68,7.6
593-95-4461,Home and lifestyle,74.86,6.9
226-71-3580,Sports and travel,23.75,9.5
283-79-9594,Food and beverages,48.51,5.2
430-60-3493,Home and lifestyle,94.88,4.2
139-20-0155,Electronic accessories,40.3,7
558-80-4082,Electronic accessories,27.85,6
278-97-7759,Electronic accessories,62.48,4.7
316-68-6352,Food and beverages,36.36,7.1
585-03-5943,Health and beauty,18.11,5.9
211-05-0490,Electronic accessories,51.92,7.5
727-75-6477,Electronic accessories,28.84,6.4
744-02-5987,Home and lifestyle,78.38,5.8
307-83-9164,Home and lifestyle,60.01,4.5
779-06-0012,Home and lifestyle,88.61,7.7
446-47-6729,Fashion accessories,99.82,6.7
573-10-3877,Health and beauty,39.01,4.7
735-06-4124,Food and beverages,48.61,4.4
439-54-7422,Electronic accessories,51.19,4.7
396-90-2219,Electronic accessories,14.96,8.6
411-77-0180,Electronic accessories,72.2,4.3
286-01-5402,Sports and travel,40.23,9.6
803-17-8013,Home and lifestyle,88.79,4.1
512-98-1403,Electronic accessories,26.48,4.7
848-42-2560,Fashion accessories,81.91,7.8
532-59-7201,Sports and travel,79.93,5.5
181-94-6432,Fashion accessories,69.33,9.7
870-76-1733,Food and beverages,14.23,4.4
423-64-4619,Health and beauty,15.55,5
227-07-4446,Electronic accessories,78.13,4.4
174-36-3675,Food and beverages,99.37,5.2
428-83-5800,Food and beverages,21.08,7.3
603-07-0961,Electronic accessories,74.79,4.9
704-20-4138,Health and beauty,29.67,8.1
787-15-1757,Health and beauty,44.07,8.4
649-11-3678,Food and beverages,22.93,5.5
622-20-1945,Health and beauty,39.42,8.4
372-94-8041,Health and beauty,15.26,9.8
563-91-7120,Fashion accessories,61.77,6.7
746-54-5508,Home and lifestyle,21.52,9.4
276-54-0879,Sports and travel,97.74,6.4
815-11-1168,Food and beverages,99.78,5.4
719-76-3868,Food and beverages,94.26,8.6
730-61-8757,Health and beauty,51.13,4
340-66-0321,Electronic accessories,36.36,7.6
868-81-1752,Home and lifestyle,22.02,6.8
634-97-8956,Food and beverages,32.9,9.1
566-71-1091,Fashion accessories,77.02,5.5
442-48-3607,Food and beverages,23.48,7.9
835-16-0096,Sports and travel,14.7,8.5
527-09-6272,Electronic accessories,28.45,9.1
898-04-2717,Fashion accessories,76.4,7.5
692-27-8933,Sports and travel,57.95,5.2
633-09-3463,Electronic accessories,47.65,9.5
374-17-3652,Food and beverages,42.82,8.9
378-07-7001,Electronic accessories,48.09,7.8
433-75-6987,Health and beauty,55.97,8.9
873-95-4984,Health and beauty,76.9,7.7
416-13-5917,Food and beverages,97.03,9.3
150-89-8043,Sports and travel,44.65,6.2
135-84-8019,Fashion accessories,77.93,7.6
441-94-7118,Electronic accessories,71.95,7.3
725-96-3778,Home and lifestyle,89.25,4.7
531-80-1784,Electronic accessories,26.02,5.1
400-45-1220,Health and beauty,13.5,4.8
860-79-0874,Fashion accessories,99.3,6.6
834-61-8124,Electronic accessories,51.69,5.5
115-99-4379,Fashion accessories,54.73,8.5
565-67-6697,Home and lifestyle,27,4.8
320-49-6392,Electronic accessories,30.24,8.4
889-04-9723,Food and beverages,89.14,7.8
632-90-0281,Fashion accessories,37.55,9.3
554-42-2417,Sports and travel,95.44,5.2
453-63-6187,Electronic accessories,27.5,6.5
578-80-7669,Sports and travel,74.97,5.6
612-36-5536,Food and beverages,80.96,7.4
605-72-4132,Food and beverages,94.47,9.1
471-41-2823,Food and beverages,99.79,8
462-67-9126,Home and lifestyle,73.22,7.2
272-27-9238,Food and beverages,41.24,7.1
834-25-9262,Fashion accessories,81.68,9.1
122-61-9553,Electronic accessories,51.32,5.6
468-88-0009,Home and lifestyle,65.94,6
613-59-9758,Sports and travel,14.36,5.4
254-31-0042,Electronic accessories,21.5,7.8
201-86-2184,Electronic accessories,26.26,9.9
261-12-8671,Fashion accessories,60.96,4.9
730-70-9830,Home and lifestyle,70.11,5.2
382-25-8917,Fashion accessories,42.08,8.9
422-29-8786,Home and lifestyle,67.09,9.1
667-23-5919,Fashion accessories,96.7,7
843-01-4703,Home and lifestyle,35.38,9.6
743-88-1662,Sports and travel,95.49,8.7
595-86-2894,Fashion accessories,96.98,9.4
182-69-8360,Electronic accessories,23.65,4
289-15-7034,Sports and travel,82.33,7.5
462-78-5240,Electronic accessories,26.61,4.2
868-52-7573,Food and beverages,99.69,9.9
153-58-4872,Food and beverages,74.89,4.2
662-72-2873,Food and beverages,40.94,9.9
525-88-7307,Sports and travel,75.82,5.8
689-16-9784,Food and beverages,46.77,6
725-56-0833,Health and beauty,32.32,10
394-41-0748,Fashion accessories,54.07,9.5
596-42-3999,Food and beverages,18.22,6.6
541-89-9860,Fashion accessories,80.48,8.1
173-82-9529,Fashion accessories,37.95,9.7
563-36-9814,Electronic accessories,76.82,7.2
308-47-4913,Sports and travel,52.26,6.2
885-17-6250,Health and beauty,79.74,7.3
726-27-2396,Health and beauty,77.5,4.3
316-01-3952,Food and beverages,54.27,4.6
760-54-1821,Home and lifestyle,13.59,5.8
793-10-3222,Health and beauty,41.06,8.3
346-12-3257,Electronic accessories,19.24,8
110-05-6330,Food and beverages,39.43,9.4
651-61-0874,Home and lifestyle,46.22,6.2
236-86-3015,Home and lifestyle,13.98,9.8
831-64-0259,Fashion accessories,39.75,9.6
587-03-7455,Fashion accessories,97.79,4.9
882-40-4577,Sports and travel,67.26,8
732-67-5346,Food and beverages,13.79,7.8
725-32-9708,Fashion accessories,68.71,4.1
256-08-8343,Home and lifestyle,56.53,5.5
372-26-1506,Fashion accessories,23.82,5.4
244-08-0162,Health and beauty,34.21,5.1
569-71-4390,Sports and travel,21.87,6.9
132-23-6451,Health and beauty,20.97,7.8
696-90-2548,Sports and travel,25.84,6.6
472-15-9636,Home and lifestyle,50.93,9.2
268-03-6164,Health and beauty,96.11,7.8
750-57-9686,Home and lifestyle,45.38,8.7
186-09-3669,Health and beauty,81.51,9.2
848-07-1692,Health and beauty,57.22,8.3
745-71-3520,Electronic accessories,25.22,8.2
266-76-6436,Food and beverages,38.6,7.5
740-22-2500,Electronic accessories,84.05,9.8
271-88-8734,Fashion accessories,97.21,8.7
301-81-8610,Fashion accessories,25.42,6.7
489-64-4354,Fashion accessories,16.28,5
198-84-7132,Fashion accessories,40.61,7
269-10-8440,Health and beauty,53.17,8.9
650-98-6268,Food and beverages,20.87,8
741-73-3559,Sports and travel,67.27,6.9
325-77-6186,Home and lifestyle,90.65,7.3
286-75-7818,Fashion accessories,69.08,6.9
574-57-9721,Food and beverages,43.27,5.7
459-50-7686,Electronic accessories,23.46,6.4
616-87-0016,Fashion accessories,95.54,9.6
837-55-7229,Fashion accessories,47.44,6.8
751-69-0068,Sports and travel,99.24,9
257-73-1380,Sports and travel,82.93,9.6
345-08-4992,Home and lifestyle,33.99,7.7
549-96-4200,Food and beverages,17.04,7
810-60-6344,Electronic accessories,40.86,6.5
450-28-2866,Food and beverages,17.44,8.1
394-30-3170,Sports and travel,88.43,4.3
138-17-5109,Home and lifestyle,89.21,6.5
192-98-7397,Fashion accessories,12.78,9.5
301-11-9629,Sports and travel,19.1,9.7
390-80-5128,Health and beauty,19.15,9.5
235-46-8343,Food and beverages,27.66,8.9
453-12-7053,Fashion accessories,45.74,6.5
296-11-7041,Health and beauty,27.07,5.3
449-27-2918,Sports and travel,39.12,9.6
891-01-7034,Electronic accessories,74.71,6.7
744-09-5786,Electronic accessories,22.01,7.6
727-17-0390,Food and beverages,63.61,4.8
568-88-3448,Health and beauty,25,5.5
187-83-5490,Electronic accessories,20.77,4.7
767-54-1907,Fashion accessories,29.56,6.9
710-46-4433,Food and beverages,77.4,4.5
533-33-5337,Electronic accessories,79.39,6.2
325-90-8763,Electronic accessories,46.57,7.6
729-46-7422,Food and beverages,35.89,7.9
639-76-1242,Food and beverages,40.52,4.5
234-03-4040,Food and beverages,73.05,8.7
326-71-2155,Sports and travel,73.95,6.1
320-32-8842,Food and beverages,22.62,6.4
470-32-9057,Food and beverages,51.34,9.1
878-30-2331,Sports and travel,54.55,7.1
440-59-5691,Health and beauty,37.15,7.7
554-53-3790,Sports and travel,37.02,4.5
746-19-0921,Food and beverages,21.58,7.2
233-34-0817,Electronic accessories,98.84,8.4
767-05-1286,Home and lifestyle,83.77,5.4
340-21-9136,Sports and travel,40.05,9.7
405-31-3305,Fashion accessories,43.13,5.5
731-59-7531,Health and beauty,72.57,4.6
676-39-6028,Electronic accessories,64.44,6.6
502-05-1910,Health and beauty,65.18,6.3
485-30-8700,Sports and travel,33.26,4.2
598-47-9715,Electronic accessories,84.07,4.4
701-69-8742,Sports and travel,34.37,6.7
575-67-1508,Electronic accessories,38.6,6.7
541-08-3113,Food and beverages,65.97,8.4
246-11-3901,Electronic accessories,32.8,6.2
674-15-9296,Sports and travel,37.14,5
305-18-3552,Home and lifestyle,60.38,6
493-65-6248,Sports and travel,36.98,7
438-01-4015,Sports and travel,49.49,6.6
709-58-4068,Fashion accessories,41.09,7.3
795-49-7276,Fashion accessories,37.15,8.3
556-72-8512,Home and lifestyle,22.96,4.3
627-95-3243,Home and lifestyle,77.68,9.8
686-41-0932,Fashion accessories,34.7,8.2
510-09-5628,Fashion accessories,19.66,7.2
608-04-3797,Health and beauty,25.32,8.7
148-82-2527,Home and lifestyle,12.12,8.4
437-53-3084,Fashion accessories,99.89,7.1
632-32-4574,Sports and travel,75.92,5.5
556-97-7101,Electronic accessories,63.22,8.5
862-59-8517,Food and beverages,90.24,6.2
401-18-8016,Sports and travel,98.13,8.9
420-18-8989,Sports and travel,51.52,9.6
277-63-2961,Sports and travel,73.97,5.4
573-98-8548,Fashion accessories,31.9,9.1
620-02-2046,Home and lifestyle,69.4,9
282-35-2475,Sports and travel,93.31,6.3
511-54-3087,Sports and travel,88.45,9.5
726-29-6793,Electronic accessories,24.18,9.8
387-49-4215,Sports and travel,48.5,6.7
862-17-9201,Food and beverages,84.05,7.7
291-21-5991,Health and beauty,61.29,7
602-80-9671,Home and lifestyle,15.95,5.1
347-72-6115,Sports and travel,90.74,6.2
209-61-0206,Home and lifestyle,42.91,6.1
595-27-4851,Fashion accessories,54.28,9.3
189-52-0236,Electronic accessories,99.55,7.6
503-07-0930,Sports and travel,58.39,8.2
413-20-6708,Fashion accessories,51.47,8.5
425-85-2085,Health and beauty,54.86,9.8
521-18-7827,Home and lifestyle,39.39,8.7
220-28-1851,Home and lifestyle,34.73,9.7
600-38-9738,Sports and travel,71.92,4.3
734-91-1155,Electronic accessories,45.71,7.7
451-28-5717,Home and lifestyle,83.17,7.3
609-81-8548,Home and lifestyle,37.44,5.9
133-14-7229,Health and beauty,62.87,5
534-01-4457,Food and beverages,81.71,8
719-89-8991,Sports and travel,91.41,7.1
286-62-6248,Fashion accessories,39.21,9
339-38-9982,Fashion accessories,59.86,6.7
827-44-5872,Food and beverages,54.36,6.1
827-77-7633,Sports and travel,98.09,9.3
287-83-1405,Health and beauty,25.43,7
435-13-4908,Fashion accessories,86.68,7.2
857-67-9057,Electronic accessories,22.95,8.2
236-27-1144,Food and beverages,16.31,8.4
892-05-6689,Home and lifestyle,28.32,6.2
583-41-4548,Home and lifestyle,16.67,7.4
339-12-4827,Fashion accessories,73.96,5
643-38-7867,Home and lifestyle,97.94,6.9
308-81-0538,Fashion accessories,73.05,4.9
358-88-9262,Food and beverages,87.48,5.1
460-35-4390,Home and lifestyle,30.68,9.1
343-87-0864,Health and beauty,75.88,7.1
173-50-1108,Sports and travel,20.18,5
243-47-2663,Electronic accessories,18.77,5.5
841-18-8232,Food and beverages,71.2,9.2
701-23-5550,Home and lifestyle,38.81,4.9
647-50-1224,Fashion accessories,29.42,8.9
541-48-8554,Sports and travel,60.95,6
539-21-7227,Sports and travel,51.54,4.2
213-32-1216,Electronic accessories,66.06,7.3
747-58-7183,Fashion accessories,57.27,6.5
582-52-8065,Fashion accessories,54.31,8.9
210-57-1719,Health and beauty,58.24,9.7
399-69-4630,Electronic accessories,22.21,8.6
134-75-2619,Electronic accessories,19.32,6.9
356-44-8813,Home and lifestyle,37.48,7.7
198-66-9832,Fashion accessories,72.04,9.5
283-26-5248,Food and beverages,98.52,4.5
712-39-0363,Food and beverages,41.66,5.6
218-59-9410,Home and lifestyle,72.42,8.2
174-75-0888,Electronic accessories,21.58,7.3
866-99-7614,Food and beverages,89.2,4.4
134-54-4720,Electronic accessories,42.42,5.7
760-90-2357,Electronic accessories,74.51,5
514-37-2845,Fashion accessories,99.25,9
698-98-5964,Food and beverages,81.21,6.3
718-57-9773,Sports and travel,49.33,9.4
651-88-7328,Fashion accessories,65.74,7.7
241-11-2261,Fashion accessories,79.86,5.5
408-26-9866,Sports and travel,73.98,4.1
834-83-1826,Home and lifestyle,82.04,7.6
343-61-3544,Sports and travel,26.67,8.6
239-48-4278,Food and beverages,10.13,8.3
355-34-6244,Food and beverages,72.39,8.1
550-84-8664,Sports and travel,85.91,8.6
339-96-8318,Fashion accessories,81.31,6.3
458-61-0011,Food and beverages,60.3,5.8
592-34-6155,Food and beverages,31.77,6.2
797-88-0493,Health and beauty,64.27,7.7
207-73-1363,Health and beauty,69.51,8.1
390-31-6381,Food and beverages,27.22,7.3
443-82-0585,Health and beauty,77.68,8.4
339-18-7061,Fashion accessories,92.98,8
359-90-3665,Fashion accessories,18.08,9.5
375-72-3056,Sports and travel,63.06,7
127-47-6963,Health and beauty,51.71,9.8
278-86-2735,Food and beverages,52.34,9.2
695-28-6250,Sports and travel,43.06,7.7
379-17-6588,Fashion accessories,59.61,5.3
227-50-3718,Health and beauty,14.62,4.4
302-15-2162,Health and beauty,46.53,4.3
788-07-8452,Home and lifestyle,24.24,9.4
560-49-6611,Sports and travel,45.58,9.8
880-35-0356,Sports and travel,75.2,4.8
585-11-6748,Sports and travel,96.8,5.3
470-31-3286,Health and beauty,14.82,8.7
152-68-2907,Food and beverages,52.2,9.5
123-35-4896,Sports and travel,46.66,5.3
258-69-7810,Fashion accessories,36.85,9.2
334-64-2006,Home and lifestyle,70.32,9.6
219-61-4139,Electronic accessories,83.08,6.4
881-41-7302,Fashion accessories,64.99,4.5
373-09-4567,Food and beverages,77.56,6.9
642-30-6693,Sports and travel,54.51,7.8
484-22-8230,Fashion accessories,51.89,4.5
830-58-2383,Home and lifestyle,31.75,8.6
559-98-9873,Fashion accessories,53.65,5.2
544-32-5024,Food and beverages,49.79,6.4
318-12-0304,Fashion accessories,30.61,5.2
349-97-8902,Food and beverages,57.89,8.9
421-95-9805,Electronic accessories,28.96,6.2
277-35-5865,Food and beverages,98.97,6.7
789-23-8625,Fashion accessories,93.22,7.2
284-54-4231,Sports and travel,80.93,9
443-59-0061,Food and beverages,67.45,4.2
509-29-3912,Sports and travel,38.72,4.2
327-40-9673,Sports and travel,72.6,6.9
840-19-2096,Electronic accessories,87.91,4.4
828-46-6863,Food and beverages,98.53,4
641-96-3695,Fashion accessories,43.46,8.5
420-97-3340,Food and beverages,71.68,9.2
